证券代码,证券简称,一致预测营业收入(FY1),一致预测净利润(FY1),一致预测ROE(FY1),一致预测每股净资产(FY1),每股收益EPS-基本,净资产收益率ROE(平均),总资产报酬率ROA,资产负债率,流动比率,总资产(同比增长率),营业收入(同比增长率),销售毛利率,每股净资产BPS,营业利润,长期借款,短期借款,营业收入,报告期,下一期营收
600298.SH,安琪酵母,7658846364,942699545,18.89,6.2363,1.1268,20.9612,13.442,51.2218,1.2031,16.4569,11.6322,36.2334,5.5417,1153042511,1518359248,2112216121,7427477218,中报,7413269751
600305.SH,恒顺醋业,1895524138,355317586,14.6542,2.9666,0.3622,13.4802,12.2672,19.4388,2.4916,5.6489,9.4299,43.8621,2.778,337215882.8,18130000,23000000,1761405020,中报,1773632531
600309.SH,万华化学,69151072647,11570227059,27.4931,13.7549,3.58,31.3484,17.5004,58.618,0.6321,41.0038,-15.347,31.4222,12.0855,14043185864,3472354076,24868380663,63077995541,中报,64718895066
600325.SH,华发股份,31182687500,2975921577,16.2043,7.7435,1.32,17.0604,2.4368,82.8225,1.7137,31.4024,50.8372,34.9667,5.9897,4369717438,39412699315,16741205188,28448966981,中报,25917405410
600337.SH,美克家居,6058022857,511385714,9.8786,2.9802,0.26,9.3562,7.8896,41.8557,1.8486,-1.8141,7.271,52.8956,2.5053,501800450.4,849904397.5,702509887.5,5418987860,中报,5618594780
600340.SH,华夏幸福,1.06233E+11,14986471282,28.5228,17.85,5.56,37.4156,5.837,88.1219,1.5207,18.0638,10.7387,48.7283,12.9521,24178292797,58402187515,23396231000,77460225604,中报,85757963287
600346.SH,恒力石化,1.06669E+11,8518278571,24.2289,5.1879,1.14,28.1786,8.6666,80.7812,0.5571,65.0183,60.0365,17.4242,4.1896,10550183707,45544141725,31819203740,84666545195,中报,1.01772E+11
600348.SH,阳泉煤业,32668396364,2043210000,10.772,7.5429,0.88,9.8538,7.2776,49.0877,0.6811,4.8509,-7.6796,20.3649,7.0813,3018801541,652140000,5220670000,31051587316,中报,32658598591
600352.SH,浙江龙盛,22526602000,5519853333,23.0036,7.3931,1.588,24.06,13.0428,55.0587,2.5894,8.9749,5.2492,46.9796,6.7983,6674451913,11411527429,5088616679,19298008338,中报,22164220111
600362.SH,江西铜业,2.1816E+11,2704283333,5.1883,14.9781,0.76,5.1836,3.9014,57.7908,1.2379,33.2722,0.5143,3.8161,14.6045,3474344178,344348500,49439255771,2.10086E+11,中报,2.2832E+11
600372.SH,中航电子,8530897273,574741667,6.8933,4.6261,0.193,4.4742,3.2626,64.409,1.412,3.5609,15.4089,29.7669,4.0745,445923516.7,214126000,3307022107,6861862859,中报,6897339962
600376.SH,首开股份,48689833333,3512884247,11.486,12.4026,1.4506,13.6216,4.7356,81.3999,1.7359,16.3655,32.4856,44.1952,9.5914,11540848829,61930946117,898359000,46490349559,中报,39393035085
600377.SH,宁沪高速,10324244167,4174001667,14.6611,5.615,0.9058,17.296,12.8158,41.5968,0.7701,13.4975,-5.9575,59.5562,5.2859,5990364708,8130483904,1410000000,9670915738,中报,9995210429
600383.SH,金地集团,66329885600,9771808817,18.9052,11.8722,1.6,15.482,4.429,77.8584,1.5211,26.0692,49.2976,39.7488,10.4765,12816866773,25046246019,3015110297,44578417137,中报,56353628413
600388.SH,龙净环保,10858239375,904566875,15.7593,5.4357,0.52,10.7898,4.355,72.5647,1.2026,18.5829,36.8699,21.5536,4.8772,673066730.1,824146951.2,2304850120,8875898283,中报,10486291675
600392.SH,盛和资源,6876362500,386252000,7.0625,3.1798,0.2068,6.8746,6.5362,41.1107,1.9245,6.4139,15.2784,12.3519,3.0515,467271110.8,181000000,1696679504,7659098760,中报,7235390239
600409.SH,三友化工,21313195455,1113260909,9.4555,5.838,0.3782,7.0902,5.827,54.8592,0.9171,3.9338,4.9114,20.1543,5.3169,1117964855,1210230000,3450339828,20956856949,中报,20637393329
600428.SH,中远海特,7947000000,189600000,1.91,4.5804,0.092,2.0654,2.5788,55.8872,0.5589,2.6482,17.1821,14.2944,4.5087,250112121.6,4898820831,698038066.2,7972959277,中报,8106407350
600438.SH,通威股份,36343883889,3105473056,17.8794,4.5354,0.7474,18.6192,9.629,61.3913,0.754,38.6579,29.3917,22.0108,4.0113,3470550704,1633074619,4407257384,32248655726,中报,37366545478
600459.SH,贵研铂业,20719046667,215761667,9.235,5.821,0.58,8.6226,6.8568,48.4273,2.1803,-3.1651,20.0991,3.3265,7.0854,298320044.4,400000000,1297568700,20907230327,中报,22290135802
600461.SH,洪城水业,5188675714,425602857,10.6867,5.1464,0.62,13.3204,9.02,59.1045,0.6479,7.2188,15.512,25.0833,4.785,763633157.3,2052100533,1040244000,5190634387,中报,4897683999
600466.SH,蓝光发展,41501086364,3387842727,18.4744,6.0241,0.7488,15.8644,2.62,81.3148,1.6575,48.3077,81.5086,29.3619,4.1015,4065981247,24393490083,6929910000,29072647863,中报,37174818384
600483.SH,福能股份,9757954375,1322730000,11.5847,7.2373,0.64,8.3598,6.0338,51.2449,1.9633,17.6477,15.8703,17.6686,7.3582,1227967787,7547659744,470000000,8890138438,中报,9876480842
600487.SH,亨通光电,37401067500,1895007500,13.57,7.5103,0.7676,11.398,6.035,64.3302,1.2137,18.4757,0.9199,17.1226,6.7678,1649617774,2557601009,9173340138,30824596524,中报,32800431882
600489.SH,中金黄金,38588708889,357025556,2.4813,3.7945,0.04,1.0766,3.186,49.8544,1.0375,0.6568,3.7495,10.6069,3.9512,890346517.3,2947131828,8479201819,33413006295,中报,35582691263
600491.SH,龙元建设,22428893333,1044186667,8.9067,7.8201,0.5716,8.8468,2.6292,80.2739,0.9632,21.6212,9.0864,9.4238,6.5832,1243603989,12350324939,3773000000,22655330320,中报,21503521949
600497.SH,驰宏锌锗,18679000000,1162250000,7.7175,2.9774,0.274,9.589,6.9922,44.4496,0.311,-2.1719,-5.783,16.5982,2.8932,1634393084,3335045620,2718199039,19486261836,中报,17931559368
600498.SH,烽火通信,27436178571,1000757826,9.0389,9.3331,0.74,8.5262,3.5642,64.231,1.2638,2.7819,7.0714,20.5535,8.6055,902959402.1,742000000,3480401073,23970328215,中报,23699750135
600499.SH,科达制造,6962666667,468333333,9.09,3.3596,0.276,9.002,5.633,57.7978,1.1272,-6.3424,7.3888,23.2048,3.0086,562739624.2,1038704884,2014800087,6480652114,中报,6261940860
600502.SH,安徽建工,43578932500,1006667500,13.48,4.3933,0.46,8.5134,2.4642,84.9452,1.1805,18.4299,16.5049,10.544,4.1163,1422393383,14046710550,7094244792,38003837329,中报,39144844021
600522.SH,中天科技,40060275000,1961630000,9.59,6.6799,0.7178,11.0184,8.1506,45.1352,2.2651,26.8147,18.3374,13.5439,6.418,2584746662,1679650359,1479408487,37154504212,中报,38913867604
600535.SH,天士力,20179206875,1706121250,14.5491,7.9844,1.1914,16.707,10.6408,53.1568,2.0407,7.2477,11.102,33.1586,7.2577,2203369544,978031648.3,3068263184,18833894334,中报,18789422926
600546.SH,山煤国际,38172388889,1017033333,18.1543,2.8512,0.52,14.923,8.7798,76.1449,0.7046,1.1265,-3.9156,20.2592,3.0612,3300340288,6375745456,11122731964,39643209337,中报,42154627190
600547.SH,山东黄金,62106811818,1892022273,8.0273,7.7261,0.6,6.084,5.569,49.9123,0.454,11.3715,19.8939,8.6027,9.9688,1984742018,32000000,3703084000,62389323789,中报,86438357388
600567.SH,山鹰纸业,24662307273,2281720909,14.8409,3.4325,0.4046,13.695,6.968,63.8935,0.7698,22.9475,-6.5598,20.3588,2.9519,2112652492,4889481805,11420449064,22339703525,中报,22845289814
600580.SH,卧龙电驱,12729848750,897668750,13.0563,5.3614,0.9444,19.4792,9.0254,64.2069,1.0535,7.822,11.6147,26.6206,5.015,1448907191,1871611111,4113458479,12021425353,中报,12335076417
600584.SH,长电科技,23689425385,10798462,0.0283,7.7705,-0.32,-4.2646,-0.632,63.2543,0.5304,1.3916,-19.0597,9.3028,7.481,-917849318,2215672825,11066660158,18296923132,中报,21594595730
600585.SH,海螺水泥,1.47303E+11,32248600370,24.4482,25.3805,5.76,26.3428,26.2334,19.0045,3.5547,22.357,56.6251,32.4457,22.4596,40272036640,3686554950,1875824058,1.43288E+11,中报,1.47675E+11
600597.SH,光明乳业,21737087000,472698000,8.3271,4.6688,0.6,13.4562,7.701,60.853,0.8786,10.8352,3.2292,32.7958,4.5605,1496581040,1158475000,3537625673,22180906478,中报,22849820687
600606.SH,绿地控股,4.27151E+11,14312738462,18.5064,6.6218,1.48,24.7924,3.659,88.2969,1.3152,10.8451,27.5888,15.1312,5.9907,33850163584,1.60172E+11,22569519125,4.02892E+11,中报,3.92029E+11
600643.SH,爱建集团,3189533333,1416583333,13.68,6.6568,0.776,12.7664,7.45,62.4805,1.027,40.8073,216.606,31.1013,6.2292,2050901953,5991328652,3751765640,1708803493,中报,1603044367
600655.SH,豫园股份,39516591429,3456712857,12.0214,7.4638,0.526,7.041,5.2258,64.0333,1.532,246.7052,34.6159,24.0982,7.5569,3743960519,9605370192,2820452938,39305964240,中报,36109573127
600660.SH,福耀玻璃,21525937000,3522655625,16.2641,8.8907,1.2,15.024,9.9966,49.5953,1.165,11.4629,2.0048,37.5285,7.93,3373712124,1866000000,8457537305,20574725324,中报,20844899059
600663.SH,陆家嘴,14489666667,3852333333,20.9233,4.6466,1.0148,25.1308,9.8812,71.7993,1.1779,7.4334,23.8633,58.619,4.0871,6752151586,10749748856,12788662531,16377069848,中报,13974392632
600667.SH,太极实业,17671366667,665133333,9.9,3.3933,0.28,8.8792,5.1282,63.7445,1.169,10.4646,8.941,12.089,3.0771,781808099.8,1777557880,1925622472,16741709169,中报,16624573791
600674.SH,川投能源,862730000,3324528000,12.2613,6.082,0.5242,9.3228,8.1224,24.5736,0.5555,6.9873,-5.6513,52.2458,5.6031,2365131873,1395000000,3502000000,637882192.6,中报,770491424.9
600690.SH,海尔智家,2.00446E+11,8259439583,17.6175,7.0845,1.618,25.2548,9.0818,67.946,1.075,15.0357,9.3843,29.1018,6.4813,14221029030,12260679425,8108137606,1.9796E+11,中报,1.98528E+11
600699.SH,均胜电子,62491079545,1291880888,9.2235,11.07,1.18,8.09,6.1398,67.6102,1.3512,17.7668,36.2003,17.3011,13.6674,2639040014,12111372128,5910735168,61654960898,中报,61075250494
600704.SH,物产中大,3.22986E+11,2885071429,12.6625,5.2701,0.6636,13.2756,7.2324,69.5088,1.1064,2.4795,22.3901,2.8443,4.2805,5584576026,1230650837,10357259857,3.20235E+11,中报,3.36247E+11
600705.SH,中航资本,15348378889,3314368889,11.3533,3.3519,0.32,10.4668,2.5172,85.7774,1.0253,33.1641,51.2861,44.3954,3.1798,6313487619,45328244848,37273811726,9832266435,中报,9850117974
600717.SH,天津港,13521500000,628780000,3.865,8.12,0.46,4.8268,5.0176,39.67,0.9402,0.4479,0.5033,19.4714,8.0064,1456168833,5486330498,1103950000,11913446333,中报,12565916931
600740.SH,山西焦化,7014280000,1670925000,14.597,7.6712,1.0218,15.6014,8.3662,47.8155,0.7251,9.2058,-2.9759,-1.3589,6.8867,1478947788,852000000,3478498544,6807240767,中报,6999790690
600741.SH,华域汽车,1.53467E+11,7021075233,14.4663,15.579,2.134,14.7584,7.23,59.9086,1.168,1.3762,-13.5537,14.6804,14.5318,9397075240,4521639030,7834881294,1.41126E+11,中报,1.40795E+11
600754.SH,锦江酒店,15438460400,1208372800,9.1146,13.985,1.1854,8.9604,5.2508,64.3539,1.0915,-1.8069,2.9327,89.5489,13.2809,1767045370,14494443282,15510358.85,14285724090,中报,15042789597
600785.SH,新华百货,7921000000,159000000,7.11,9.89,1.4702,15.0212,8.2654,56.4578,0.6675,6.5789,-0.1651,22.4234,10.1551,321893664.9,138000000,700000000,7893820164,中报,7604186116
600795.SH,国电电力,74282394000,3706066000,7.22,2.62,0.23,8.8046,6.2918,68.3747,0.3859,33.2986,7.6504,21.5965,2.6696,10681014732,1.22958E+11,42862776354,1.10981E+11,中报,1.14266E+11
