证券代码,证券简称,一致预测营业收入(FY1),一致预测净利润(FY1),一致预测ROE(FY1),一致预测每股净资产(FY1),每股收益EPS-基本,净资产收益率ROE(平均),总资产报酬率ROA,资产负债率,流动比率,总资产(同比增长率),营业收入(同比增长率),销售毛利率,每股净资产BPS,营业利润,长期借款,短期借款,营业收入,报告期,下一期营收
000002.SZ,万科A,4.42799E+11,45944303269,20.9352,19.9343,3.47,22.6117,5.0492,84.359,1.1307,13.1724,23.5873,36.2451,16.6392,76613136042,1.1432E+11,15365231785,3.67894E+11,年报,1.91097E+11
000026.SZ,飞亚达,3783617500,220122500,7.625,6.532,0.4943,8.265,8.1039,29.4179,2.4236,4.479,8.9329,40.1436,5.9926,272879727,4321680,567908833.2,3704210735,年报,2353444228
000034.SZ,神州数码,1.09426E+11,917404286,18.4767,7.8491,1.0788,17.0793,4.863,85.1301,1.0375,13.2207,6.0413,4.0168,6.6845,920251889.7,2102378245,9691753164,86803376390,年报,71863726472
000039.SZ,中集集团,89027968333,1302965000,3.28,11.0338,0.37,4.0278,4.0837,68.0212,1.276,8.3228,-8.2166,14.5192,9.833,5838747000,30918302000,17557197000,85815341000,年报,63408708000
000050.SZ,深天马A,35593447000,1254155000,4.3311,14.1796,0.4049,3.1468,2.7091,59.1951,0.7054,9.0178,4.7401,16.8469,13.0399,1003532359,13408450000,5808322051,30281970068,年报,26249327643
000059.SZ,华锦股份,38103000000,1227000000,8.6767,8.7476,0.62,7.4147,5.4914,51.817,1.4715,-14.1832,6.9446,14.5578,8.5086,1208679681,3257527189,6710000000,39608340979,年报,23446889770
000060.SZ,中金岭南,21230550000,792260000,9.094,3.295,0.24,8.0164,5.9314,44.0773,1.063,4.1744,14.2116,9.0958,3.0632,1039754177,915312610,3316159818,22800522837,年报,24164924879
000062.SZ,深圳华强,16680280000,761320000,12.64,5.6602,0.6024,12.7726,9.3559,49.6825,1.4374,10.1785,21.6579,11.1551,4.9525,894890287.4,417548001.2,3167398644,14355283742,年报,11346467223
000063.SZ,中兴通讯,1.09229E+11,6266787297,14.6406,9.3938,1.22,19.905,5.8753,73.1206,1.1875,9.1622,6.1083,37.1716,5.3399,7552182000,10045093000,26645966000,90736582000,年报,85937972000
000069.SZ,华侨城A,59370111111,12890888889,18.4456,8.4687,1.5044,19.3176,6.1935,74.9767,1.4879,28.4555,24.6465,56.5828,8.3685,19230737681,69637641851,23348658233,60025027202,年报,27272487562
000090.SZ,天健集团,11786666667,1069000000,11.15,4.7933,0.6042,13.5199,5.3621,76.0364,1.543,27.0066,43.6438,23.3881,4.1718,1800581105,7403626440,2052140000,14665288591,年报,17224348886
000099.SZ,中信海直,1340000000,145000000,4.4,5.58,0.35,6.6625,6.2464,42.148,1.6288,3.4975,9.9147,25.6296,5.3954,255939936.9,300329981.8,244741691.6,1567253301,年报,1270305759
000100.SZ,TCL科技,69950411579,3842983684,10.9313,2.6196,0.1986,8.6386,3.1389,61.2465,1.1184,-14.4835,-33.8982,11.4715,2.2258,3976839000,38512059000,12069657000,74933086000,年报,54968516648
000157.SZ,中联重科,49145058710,5321757742,11.9544,5.7418,0.58,11.3449,6.9528,57.0609,1.8269,-1.4858,50.915,30.0013,4.935,5013923090,2842053921,5042879850,43307395375,年报,36266728295
000333.SZ,美的集团,2.81725E+11,23756315625,23.8532,14.4988,3.6,26.2109,9.5474,64.4,1.5,14.5067,7.1443,28.8632,14.5827,29683092000,41298377000,5701838000,2.78216E+11,年报,2.32052E+11
000338.SZ,潍柴动力,1.83539E+11,10151982917,18.3788,6.7987,1.15,21.5406,6.5675,70.5383,1.1918,15.3721,9.4848,21.7983,5.7001,14155892682,11373657991,2014692401,1.74361E+11,年报,1.55997E+11
000401.SZ,冀东水泥,38271047368,3428580694,19.4288,12.9143,1.853,18.0456,12.0953,52.5172,0.7768,-15.8903,9.7268,37.0692,9.1784,6307076908,2375000000,7600836930,34507031965,年报,12398975529
000417.SZ,合肥百货,9940500000,132000000,3.25,5.235,0.2047,4.1264,3.7514,56.2743,0.9269,2.9373,2.1215,19.7693,5.0865,399166270.1,374634881.7,210317603.1,10908554054,年报,10490857643
000425.SZ,徐工机械,55435644375,3856482601,12.5969,3.9167,0.432,11.4355,5.8733,56.4685,1.6373,26.1907,33.2492,17.4532,3.6397,4083146794,2762961374,3043550943,59175998918,年报,55383289954
000488.SZ,晨鸣纸业,30924285714,2030285714,8.4167,8.5367,0.33,6.5974,4.7087,73.1114,0.853,-6.9881,5.2628,28.3646,6.0952,1583669508,9140339694,36883156014,30395434073,年报,24341507221
000498.SZ,山东路桥,22617750000,888507500,13.6733,5.6148,0.5533,11.7915,4.1976,74.2626,1.181,29.3572,52.3124,9.2764,4.9205,1067632014,3069570096,2210941315,23260476870,年报,15873761778
000501.SZ,鄂武商A,17912333333,1053666667,11.62,11.9633,1.6,13.7959,6.9756,59.6956,0.5158,3.0956,0.2854,22.4296,12.3667,1551086629,1061286370,1072357048,17756087656,年报,5165861460
000521.SZ,长虹美菱,15762500000,52000000,1.1,4.8109,0.054,1.1265,0.1998,64.0058,1.2509,-8.7366,-5.3568,18.7127,4.7913,68708060.47,401280000,1103991046,16553252895,年报,9126312968
000528.SZ,柳工,19613960000,1020262000,9.83,7.058,0.69,10.1785,4.9547,63.7307,1.4722,13.9226,6.0407,23.6623,7.0131,1309698478,3621720517,5020619480,19177295779,年报,17919274824
000553.SZ,安道麦A,28124444000,1390256000,5.674,10.0905,0.1132,1.2409,2.446,50.6024,2.1048,2.6144,2.5903,32.2303,9.1442,529700000,927159000,2009882000,27563239000,年报,27128972000
000598.SZ,兴蓉环境,5223673000,1211698000,9.7478,4.1742,0.36,9.97,6.0972,52.6595,0.8471,21.1061,16.3085,38.9289,3.7662,1303228756,2370380015,700952416.7,4838024958,年报,3934876698
000630.SZ,铜陵有色,83845805000,871127500,5.29,1.7533,0.08,4.7077,4.4926,58.1694,1.0888,2.094,9.8854,4.4795,1.7455,1449171591,3904596643,10409606987,92951074345,年报,81070734783
000656.SZ,金科股份,85179845263,7092391102,22.6485,6.3083,1.05,22.4572,3.2184,83.7841,1.4491,39.4048,64.3641,28.8363,4.9754,8621616008,52381951348,3060253977,67773374520,年报,30507382761
000661.SZ,长春高新,9256637143,2675363571,26.3233,52.4932,10.27,26.5335,25.021,30.7654,2.7171,35.1459,37.1853,85.1945,39.9503,2876181418,67595393.95,515000000,7373701267,年报,6643743587
000671.SZ,阳光城,88230761538,5671760000,19.6169,7.6663,0.91,16.1702,2.5832,83.4503,1.5417,16.7638,8.1092,26.5793,5.3269,6826575771,66519040671,7745550000,61049371313,年报,26859483358
000672.SZ,上峰水泥,6752485000,2126905000,40.4825,6.4416,2.93,52.4828,38.0501,41.616,1.3179,41.3718,39.7296,48.7956,6.6737,3160134558,52000000,1197186812,7412062639,年报,4207126486
000681.SZ,视觉中国,861162941,320193889,10.0456,4.6681,0.3127,7.3459,6.746,25.3447,1.0619,-2.6677,-26.9002,63.0986,4.3874,262424092,203476523.8,200691513.7,722107028.6,年报,442231227.3
000703.SZ,恒逸石化,1.16996E+11,4617003000,17.7547,8.9857,1.13,15.5955,7.7988,65.9003,0.7024,42.9454,-9.5897,7.0657,8.1827,4789109186,12733302561,23323906007,79620543632,年报,75490140420
000709.SZ,河钢股份,1.22472E+11,2402000000,4.5667,4.6899,0.2,4.5313,3.2343,72.2388,0.5206,1.5279,0.4451,13.0648,4.5536,3621165600,7685708500,55904049926,1.21495E+11,年报,94331119753
000717.SZ,韶钢松山,28500382000,1648950000,17.55,3.9101,0.7537,25.7264,12.1931,53.4179,0.6083,4.5335,7.4899,12.124,3.306,1950360458,146300000,3027894700,29143183753,年报,25093720622
000725.SZ,京东方A,1.16855E+11,2694360556,2.8764,2.5943,0.05,2.121,0.6793,58.5627,1.3326,11.9672,19.5149,15.1761,2.5014,398668981,1.07731E+11,6366717121,1.1606E+11,年报,1.0352E+11
000733.SZ,振华科技,4028248182,304410909,5.976,9.8477,0.5781,5.8339,4.7804,38.6039,3.0463,-15.2091,-31.2743,44.3761,10.4472,397438574.2,1022541000,475671994.6,3668281842,年报,3553658737
000756.SZ,新华制药,6541000000,407333333,13.2533,4.9833,0.48,10.6065,7.0127,51.67,0.977,8.1229,6.8904,33.4397,4.7744,387436288.7,589779009,540000000,5606020863,年报,6823931656
000778.SZ,新兴铸管,41829000000,1751666667,8.12,5.3651,0.3751,7.1801,4.793,54.8986,1.1359,-4.3833,0.8449,14.0282,5.3056,2032769905,488400000,7407024191,40889707108,年报,32766891861
000786.SZ,北新建材,16928786087,2942822083,18.1262,9.7199,0.261,3.1249,3.4528,32.2458,1.0206,19.8545,6.0335,31.8571,8.2578,2698087830,235600000,1579968552,13323011974,年报,8321031505
000807.SZ,云铝股份,28199488462,490808052,4.6392,3.5501,0.19,5.1629,3.8792,68.2323,0.442,5.4851,11.961,13.3559,3.4907,582716055.7,4701180000,8501813068,24283623387,年报,23973596389
000825.SZ,太钢不锈,69197000000,2322000000,7.07,5.77,0.372,6.7904,4.277,53.6267,0.8155,-3.1676,-3.4638,11.9983,5.608,2150178385,10041634479,8188392375,70419388611,年报,62341981544
000826.SZ,启迪环境,10487000000,669500000,4.6,10.67,0.211,2.3959,3.0193,62.1958,0.8167,11.4664,-7.4345,25.7252,9.4723,638107530.6,7165590562,3239038271,10176449579,年报,8006610596
000830.SZ,鲁西化工,18869045000,1491632500,12.6825,8.4152,1.147,15.4211,8.9115,62.5409,0.2147,8.7069,-15.056,18.6684,7.64,1520626858,85000000,8408539383,18081576304,年报,13428952221
000860.SZ,顺鑫农业,14419110000,1054710500,12.3342,11.4855,1.0909,10.6887,6.208,66.1229,1.4585,10.9352,23.403,36.1968,10.0203,1185904950,1855800600,3200000000,14900141029,年报,22097625962
000869.SZ,张裕A,4813000000,984500000,10,14.85,1.65,11.3456,11.711,22.4876,2.0256,4.0419,-2.1631,62.4828,15.0393,1523216258,128892501,754313744,5031011489,年报,3202346176
000876.SZ,新希望,81063173077,4674058462,17.8536,6.1762,1.22,21.1685,12.2318,49.1575,0.6558,33.9437,18.805,12.0663,6.1816,6668704622,4954486450,13620562406,82050539487,年报,82272779472
000877.SZ,天山股份,10177453750,1805618750,16.5563,10.3746,1.5598,18.1278,15.611,33.6432,0.8926,-10.3047,22.1442,36.5981,9.1986,2397086930,1353655470,922979279.9,9688216842,年报,2141203175
000878.SZ,云南铜业,61071700000,765378000,8.9,5.5227,0.3941,8.3393,5.1694,71.3752,0.9789,13.6845,33.4378,7.2804,4.9257,1203801635,8349888932,7258310841,63289995891,年报,69001738708
000887.SZ,中鼎股份,11819800000,742600000,8.6575,7.2719,0.49,7.0085,5.1348,50.5901,2.2025,12.5683,-5.4028,25.3367,7.1216,757164804.4,3314112455,835200332.6,11706104397,年报,10044732906
000895.SZ,双汇发展,67411638214,5938537857,31.6421,5.8266,1.6382,36.9129,27.1304,40.2257,1.4449,25.2304,23.7408,18.7912,4.9672,6851675859,16188598.83,3277465170,60309731763,年报,70326520522
000898.SZ,鞍钢股份,1.005E+11,1762266250,3.2583,5.7249,0.19,3.4352,3.3886,40.1558,0.8007,-2.4616,0.4089,8.3391,5.5374,2025000000,3392000000,12195000000,1.05587E+11,年报,81348000000
000925.SZ,众合科技,2609500000,151500000,6.1,4.485,0.24,5.6065,3.8983,65.9408,0.9695,13.3172,32.9766,28.9304,4.4285,91914394.15,809588938.9,1307647909,2778079943,年报,1364841160
000932.SZ,华菱钢铁,1.04207E+11,4663156000,15.3479,5.1232,1.0401,19.1963,11.0196,60.7759,0.6915,-0.2295,5.841,13.5174,4.6043,7889130523,2022500000,15755292399,1.07116E+11,年报,94430025103
000933.SZ,神火股份,18440800000,2118600000,25.192,4.1527,0.71,19.4022,5.0226,82.1109,0.4358,-9.8232,-9.0401,14.8018,4.0946,1007579639,2191450000,18547997067,17617836735,年报,14753829700
000937.SZ,冀中能源,22222095000,915215000,4.405,5.89,0.2551,4.4689,5.0462,49.565,1.3912,-0.6725,1.3125,23.1899,5.7851,2049193121,2556250000,4428000000,21740054436,年报,20259307791
000959.SZ,首钢股份,65834333333,1620401168,5.9633,4.9632,0.2365,4.7771,2.9848,71.9185,0.3165,4.6368,5.1307,10.1534,5.11,2024461277,19101100000,30267213915,69151432692,年报,68603055734
000960.SZ,锡业股份,42151185000,724045000,5.69,7.61,0.5126,6.9747,5.611,60.0611,0.629,2.6596,8.2927,8.8088,7.4323,1361235026,1239728131,9595237910,42887232440,年报,37259167245
000961.SZ,中南建设,69829039412,4116480630,19.7641,5.6333,1.1151,21.4384,2.5298,90.769,1.1664,23.2829,79.0839,16.7467,5.7067,6309275904,36006261821,13082301950,71830786061,年报,46340188738
000967.SZ,盈峰环境,14783647273,1426515664,9.1711,4.945,0.43,9.0804,7.0064,36.562,1.4594,1.6081,-2.6747,26.0432,4.905,1788715699,643843170.8,1606673817,12695858666,年报,8797366035
000968.SZ,蓝焰控股,2279408333,701118333,15.088,4.6802,0.58,13.6089,9.2906,49.7832,1.3706,10.3271,-19.1313,41.8289,4.4976,659854074.5,946000000,300398750,1886941951,年报,1487890270
000977.SZ,浪潮信息,54958226774,890708387,9.3232,6.5953,0.7204,9.8164,4.292,64.9489,1.4646,14.8825,10.0392,11.974,6.9422,1026966506,121718381,1607446720,51653280174,年报,44940560667
000983.SZ,西山煤电,33207353750,2075656250,9.7186,6.9532,0.5427,8.4986,5.8546,64.4769,0.6616,0.0875,2.1187,31.876,6.4905,3076238416,9311929876,3394164588,32954731135,年报,27852938280
000988.SZ,华工科技,5750377500,487268750,8.0725,5.9585,0.5,8.5031,6.206,34.973,2.2943,9.5779,4.3458,25.2736,6.1063,585328713.2,52000000,639815309.6,5460245492,年报,3036774606
000997.SZ,新大陆,6939176000,766294000,12.848,5.569,0.6702,12.5552,6.4702,48.451,1.3233,10.7908,-2.2337,33.5219,5.4718,789992263.9,38333333.3,606663771.8,5631027316,年报,4413886331
000998.SZ,隆平高科,3496562857,91797143,1.2171,5.19,-0.23,-4.5781,0.4859,55.3412,0.8769,0.8569,-12.5758,38.5529,4.6901,-152404192.6,354000000,3528474167,3129540712,年报,3226046159
001979.SZ,招商蛇口,1.10112E+11,18131101176,20.5546,11.0962,1.99,18.7792,5.5381,63.1901,1.6177,45.9491,10.6418,34.6496,9.581,26319993161,68834884957,22170142371,97672181192,年报,47188523922
002001.SZ,新和成,10984805200,3243368800,16.5617,9.1458,1.01,13.1358,10.832,40.7028,1.8557,29.9369,-12.2349,47.2814,7.8412,2566704098,3897537961,3234740704,7620982936,年报,10478468304
002008.SZ,大族激光,13060354667,1565574375,15.466,9.7543,0.61,7.486,4.3989,49.2654,1.7486,-5.551,-13.2994,34.0195,7.7545,669677345.7,288058006.7,1222925757,9562627344,年报,6041371650
002010.SZ,传化智联,27580000000,1984666667,13.2367,4.6033,0.49,11.9618,7.7826,46.239,1.394,1.8507,-0.0235,13.13,4.4897,2040021313,1484781483,2640335269,20143339040,年报,14215537815
002013.SZ,中航机电,13584112105,1119633500,10.1793,3.0174,0.27,10.1415,5.1984,55.3874,1.4779,5.8385,2.9779,27.0084,2.6112,1228355882,843950000,2854246514,12131383071,年报,8303107718
002019.SZ,亿帆医药,6741607500,1271350000,16.3367,6.6063,0.75,12.7938,10.7285,29.3164,1.2209,13.2065,11.9834,46.1308,6.0632,1076040813,83966101.05,1784416714,5186843636,年报,5298525420
002023.SZ,海特高新,1052382000,123204000,3.8533,4.8506,0.1,2.1673,2.7355,43.3954,1.7366,14.1889,56.6802,41.8533,4.7128,73749717.18,1709146655,203269511.4,807878768.7,年报,653018272.3
002024.SZ,苏宁易购,3.36673E+11,2122957619,2.1955,10.1203,1.07,11.6596,7.086,63.2075,0.9959,18.7439,9.9088,14.5272,9.4438,14671720000,7720895000,18954821000,2.69229E+11,年报,2.31357E+11
002036.SZ,联创电子,6011176250,318587500,13.1129,3.345,0.37,12.2315,5.7328,71.4936,1.1044,31.4126,26.6472,15.2613,3.2248,300856417.3,553739598.9,1638117178,6081932972,年报,3901303856
002042.SZ,华孚时尚,15088000000,456000000,6.4,4.39,0.27,6.084,4.1433,63.5706,1.0864,-1.0765,11.039,7.8599,4.1469,443896726.5,1062236818,8181373785,15886871683,年报,9224206574
002044.SZ,美年健康,9800104000,945240000,12.8893,2.0598,-0.23,-12.4836,-0.5224,56.8995,1.0887,15.6779,0.7871,43.8098,1.8663,-448811925,1182789431,2309069932,8525026063,年报,2140589526
002048.SZ,宁波华翔,19039527000,1132625000,11.622,15.7448,1.57,11.3679,9.2234,38.6977,1.5686,5.3401,14.5129,20.0292,14.6096,1482812893,52520607.72,711276714.8,17093435580,年报,10961613348
002050.SZ,三花智控,13017189118,1655340571,15.6719,3.9528,0.52,15.8736,11.7513,36.6782,2.1348,6.1585,4.1667,29.596,3.3596,1663989346,392882280.1,1295610572,11287489442,年报,9934690642
002051.SZ,中工国际,10673500000,979000000,8.9,8.4,0.85,10.6507,5.6128,49.928,1.7513,-1.4799,-21.1484,22.2021,8.6775,1198295856,121010672.6,51044236.11,10656800244,年报,6416938230
002074.SZ,国轩高科,7168080000,688597273,7.674,8.0725,0.05,0.5881,1.4417,64.022,1.2951,22.2638,-3.2787,32.5364,7.8336,58853350.72,722846571.4,3861567359,4958898582,年报,2918069782
002078.SZ,太阳纸业,24573617500,2439290714,14.95,6.4052,0.84,16.0367,10.1317,54.4827,0.7885,9.3894,4.5677,22.5429,5.5343,2503146479,1652594833,8936162244,22762704536,年报,22209446738
002080.SZ,中材科技,15803805714,1678831905,13.0852,7.6196,0.8223,12.3458,7.5563,56.3553,0.9118,21.6277,18.6076,26.8985,6.332,1558178212,3357579121,3528876277,13590466951,年报,11556835505
002085.SZ,万丰奥威,11643275000,953790000,11.68,3.53,0.36,12.3275,8.633,52.385,1.2227,4.4504,-1.9749,20.2264,2.8126,821165590.4,1165220492,3070118768,10787734491,年报,8000644984
002087.SZ,新野纺织,6002500000,344500000,7.69,5.48,0.3421,6.9566,5.8604,55.9093,1.1742,-2.1075,-5.4101,19.6468,5.0543,335187478.5,207000000,2912805151,5732043895,年报,4236199525
002092.SZ,中泰化学,1.04741E+11,1030130000,5.32,9.162,0.1598,1.8145,2.8325,63.9165,0.6922,2.5311,18.3662,6.9025,8.8031,410617044.5,4359281569,9100892031,83119888254,年报,63341449879
002094.SZ,青岛金王,5552000000,165000000,5.6,4.36,0.03,0.729,4.1725,38.8867,2.0154,-6.1875,0.3462,15.2813,4.197,132689318,30000000,889684501.5,5474978205,年报,3284752307
002111.SZ,威海广泰,3409228333,415601667,12.5625,8.6803,0.88,11.6862,8.967,38.4065,1.8453,5.2196,16.6533,30.6327,7.6516,343574265,31492724,519636471.6,2551437385,年报,1751147775
002124.SZ,天邦股份,12427405000,4509288750,56.8186,7.3284,0.09,3.8158,3.7326,61.5333,0.5439,20.9611,32.9265,13.6719,2.4852,228183974.8,8004427.65,2046254114,6006883385,年报,7550403771
002126.SZ,银轮股份,6092269231,392233846,9.1338,5.3952,0.4,8.6617,5.8354,51.5216,1.2118,7.193,9.9916,24.1159,4.7086,400474959.4,211472457.1,1155964876,5520743643,年报,5098906689
002128.SZ,露天煤业,19223331818,2610497273,14.7445,9.3831,1.28,17.3438,14.3597,44.5799,0.7683,6.0162,7.8089,27.2799,8.4037,3254974202,4603685810,5893500000,19155000719,年报,19672698940
002129.SZ,中环股份,22860263182,1523745909,9.39,5.9306,0.3245,6.5906,5.2038,58.1654,1.0401,15.0389,22.7633,19.4899,4.7867,1440669961,7681047950,4423354991,16886971336,年报,18066163275
002146.SZ,荣盛发展,88794572000,11694631333,21.7693,11.437,2.1,24.4934,5.7511,82.4535,1.3207,11.7808,25.8026,30.0847,9.4034,13296930305,26696142710,4124650758,70911900244,年报,32830667787
002157.SZ,正邦科技,41251291111,10688751908,59.5114,7.5932,0.6857,20.7544,7.7734,67.649,0.6617,44.5793,10.875,15.7419,3.8339,1830300788,2324352813,4498468305,24517770453,年报,28539826859
002179.SZ,中航光电,11248512381,1333895909,14.5344,8.5561,1.0422,15.0748,9.1645,42.2842,2.0424,13.034,17.1802,32.6811,7.6284,1244087315,141716452.2,1035169548,9158826504,年报,7199596739
002180.SZ,纳思达,27907550000,1433550000,19.3633,6.8491,0.7,13.6733,5.3919,74.6428,0.7806,4.7228,6.2453,35.5345,5.4264,1171068062,7470579851,1389476318,23295845261,年报,20960876024
002185.SZ,华天科技,10213433077,704020000,9.2623,2.7976,0.1134,4.2606,3.3808,38.18,1.188,28.951,13.7858,16.3287,2.8351,356399772.8,1505757344,1470804145,8103490628,年报,6768611724
002202.SZ,金风科技,39193346333,2933703000,10.2,7.108,0.512,7.9439,3.7334,68.7317,0.9773,26.6617,33.1143,19.0139,6.7884,2571403562,15046352147,1974072209,38244553924,年报,21869213059
002221.SZ,东华能源,56097758750,1635681250,14.7225,6.6857,0.6984,12.4637,7.2257,66.7383,1.0399,4.8328,-5.6295,5.3056,5.6534,1377172164,1735016779,9563721051,46187623600,年报,37348703256
002230.SZ,科大讯飞,14343118889,1227351852,11.7392,5.0438,0.4,8.4499,5.5577,41.6202,1.6648,31.3558,27.3008,46.0202,5.1933,987967531.3,397598742.8,733208695.5,10078688920,年报,5635281958
002234.SZ,民和股份,3328666667,1651666667,43.2233,12.668,5.33,83.4736,55.9157,15.8251,3.9591,24.2703,80.2295,59.6764,9.0611,1612136494,84200000,164800000,3276052000,年报,1768040254
002236.SZ,大华股份,31964315556,3817712222,20.814,6.3155,1.1,22.5615,12.2852,45.9619,1.8335,12.1973,10.4951,41.1223,5.2079,3496880385,153500000,400323888.9,26149430652,年报,14006249103
002241.SZ,歌尔股份,45954955000,1934590417,10.9523,5.5687,0.4,8.1802,5.3232,53.4649,1.0083,16.5348,47.9871,15.4264,4.9635,1496263014,343653859.8,6154458300,35147806428,年报,25896094339
002249.SZ,大洋电机,8220000000,337500000,5.14,2.815,0.02,0.7985,1.4593,47.2666,1.5429,-5.3964,-5.6917,19.7753,3.0051,115266606.1,754518257.5,197869632.8,8145952952,年报,6094641517
002251.SZ,步步高,22169932500,213890000,2.7925,8.8199,0.2,2.2962,2.3829,67.8641,0.4743,6.3049,6.8677,24.1076,8.7497,225757286.2,2494454071,5421695209,19661390349,年报,22064055080
002258.SZ,利尔化学,4780712727,425452273,11.5905,6.9529,0.5934,9.5508,7.2658,46.8263,1.3027,15.4228,3.3963,25.8631,6.0206,432060403.1,425200000,445821080.6,4163842124,年报,3923105191
002262.SZ,恩华药业,4387371667,786832500,18.7464,4.2043,0.66,20.1705,18.3723,14.2016,5.8216,4.2514,7.5462,62.615,3.5518,770802672.6,230000,38000000,4149312426,年报,2950065785
002277.SZ,友阿股份,6436000000,309000000,4.3,5.2,0.227,4.6804,3.2592,52.7707,0.8295,4.3822,-13.4356,19.8033,4.8884,306998069.2,923660000,1612069137,6248432516,年报,4700781521
002299.SZ,圣农发展,16294562857,4085585000,30.9431,10.7901,3.3019,44.7028,29.0936,30.9009,0.9429,4.251,26.0773,34.5495,8.5168,4264569053,217523411.8,2656133547,14558436762,年报,11943846412
002310.SZ,东方园林,9830200000,1034210000,7.448,5.3618,0.02,0.4122,1.9684,71.0368,1.0657,4.0835,-38.8167,29.4961,4.6276,72554497.56,2810463280,6543264839,8133197165,年报,1765317710
002314.SZ,南山控股,9302000000,612000000,6.7,3.35,0.15,4.8817,3.1286,73.4191,1.4027,35.5875,2.642,32.8842,3.1064,746252577.6,6180740545,1952545812,7237981452,年报,2909955332
002340.SZ,格林美,16692400000,1106202596,9.7667,2.7782,0.18,7.2219,5.5417,58.76,1.132,7.5369,3.4283,18.0921,2.5266,858901357.5,1379890404,6218136712,14354010107,年报,9169299174
002352.SZ,顺丰控股,1.34826E+11,6347027813,13.6281,10.771,1.32,14.6783,9.7979,54.0785,1.3846,28.9429,23.3671,17.4197,9.4348,7408608298,6539556784,6053374643,1.12193E+11,年报,1.34166E+11
002371.SZ,北方华创,5933228500,520287000,10.435,10.803,0.6708,6.5726,4.3356,55.5856,1.768,37.3272,22.0967,40.5349,11.9351,420605234.1,1112853716,878337658,4058312882,年报,3751762534
002375.SZ,亚厦股份,13048000000,514000000,5.9,6.5,0.32,5.3552,2.9459,61.7735,1.3865,3.4141,17.2418,14.3555,5.9837,542640026.3,59503988.89,1839022174,10785629767,年报,5907710317
002384.SZ,东山精密,27511545455,1705773775,15.8009,6.7706,0.44,8.237,4.2478,72.5376,0.8975,1.717,18.8011,16.3222,5.3817,763530939.7,2772306249,8830865990,23552825103,年报,20523329407
002397.SZ,梦洁股份,3021000000,189000000,9,2.79,0.11,4.3702,4.2406,40.9825,1.4264,2.4932,12.8035,41.1208,2.5148,124300467.5,30280000,511000000,2603609858,年报,1450602541
002415.SZ,海康威视,70020806333,15186109333,27.6056,6.0956,1.343,30.0981,19.1563,39.6576,2.7221,18.6899,15.6931,45.9917,4.8051,13707554654,4604168571,2640082485,57658110065,年报,37715611898
002422.SZ,科伦药业,20608600833,1468200000,10.1373,10.3097,0.66,7.2277,5.9655,55.8333,0.9564,7.2358,7.8553,60.1812,9.1597,1276876799,801741735,3175114271,17636267044,年报,14150468028
002438.SZ,江苏神通,1714250000,244625000,11.275,4.5273,0.3542,9.1178,6.2817,41.3351,1.7356,1.8837,23.9784,35.9548,4.0561,191391180.9,26680000,335782867,1348220650,年报,1269309560
002448.SZ,中原内配,1497000000,198500000,6.12,4.9884,0.15,3.2976,3.1673,35.7999,2.1956,0.8957,-6.6635,32.1762,4.3554,71389331.29,681159051.6,311000000,1490193982,年报,1355588466
002456.SZ,欧菲光,54135856000,1627604000,16.1188,3.8334,0.1892,5.6497,3.956,72.934,0.9333,6.8393,20.7499,9.8737,3.5101,657009839.5,2221837744,7013374091,51974129540,年报,39061767902
002460.SZ,赣锋锂业,6053645652,960096957,10.69,7.0687,0.28,4.3992,3.9901,40.827,1.7543,4.2105,6.7515,23.5039,6.3048,475311202.2,1430219280,1130991052,5341720204,年报,4315365201
002465.SZ,海格通信,5660733750,719352353,7.3888,4.2929,0.23,5.7657,4.7779,23.2038,3.4719,13.3844,11.2007,37.6625,4.1619,569588796.4,199000000,512303120,4607107847,年报,3142433317
002466.SZ,天齐锂业,6406362500,782639795,6.4013,7.619,-5.24,-69.9844,-5.3573,80.8797,0.2885,4.3978,-22.4809,56.5625,4.714,-4538132098,12254711835,3190990278,4840615284,年报,3873715044
002475.SZ,立讯精密,84562887647,6455665588,25.6317,4.9105,0.88,26.3382,13.7491,55.9526,1.237,35.4993,74.3832,19.9124,3.7945,5744687387,1562908824,4166302223,62516314588,年报,66053133843
002488.SZ,金固股份,2335640000,145810000,3.5,4.11,0.02,0.5787,1.4082,40.3268,1.0328,-7.8553,-21.9662,21.3708,3.9528,27803687.34,144895083.9,1685792205,2113712552,年报,2003535966
002493.SZ,荣盛石化,1.71684E+11,5350746774,19.552,4.3633,0.35,10.1498,2.5102,77.234,0.6849,50.3821,-9.7619,6.8254,3.5852,3138606106,58403222669,30041644091,82499880682,年报,84210741980
002531.SZ,天顺风能,6775666842,977892632,14.9305,3.7006,0.42,13.5349,8.3569,54.4784,1.189,2.3471,61.1832,26.3419,3.2658,872793624.7,1817057141,1740291079,5966849418,年报,3402067394
002543.SZ,万和电气,6698666667,613333333,15.7,5.2391,0.8,17.0465,10.856,43.8461,1.2427,2.4124,-10.0403,33.2663,5.0191,708472746,4651252.4,544248837.8,6219710301,年报,5720958160
002567.SZ,唐人神,20015500000,1573500000,29.825,6.6717,0.2419,6.0109,5.0488,47.8078,0.8671,11.4852,-0.4067,9.5587,3.9753,354717326.4,252000000,1508780000,15342862855,年报,14399426923
